 cookie=0x0, duration=9.930s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=12,vlan_tci=0x0000/0x1fff,dl_src=6e:f0:f1:4d:6a:5d,dl_dst=ee:af:1e:de:da:bf,arp_spa=10.20.0.12,arp_tpa=10.20.0.10,arp_op=2 actions=output:10
 cookie=0x0, duration=9.927s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=37,vlan_tci=0x0000/0x1fff,dl_src=b6:f6:74:06:fe:26,dl_dst=76:b5:86:df:02:a3,arp_spa=10.50.0.37,arp_tpa=10.50.0.254,arp_op=2 actions=output:51
 cookie=0x0, duration=9.925s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ee:af:1e:de:da:bf,dl_dst=6e:f0:f1:4d:6a:5d,arp_spa=10.20.0.10,arp_tpa=10.20.0.12,arp_op=2 actions=output:12
 cookie=0x0, duration=5.332s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=49,vlan_tci=0x0000/0x1fff,dl_src=fe:cc:75:b9:6e:9e,dl_dst=72:2c:7e:11:b7:03,arp_spa=10.10.0.254,arp_tpa=10.10.0.4,arp_op=2 actions=output:4
 cookie=0x0, duration=4.308s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=34,vlan_tci=0x0000/0x1fff,dl_src=12:42:36:87:e0:c8,dl_dst=02:a2:78:3b:86:af,arp_spa=10.50.0.34,arp_tpa=10.50.0.39,arp_op=2 actions=output:39
 cookie=0x0, duration=4.307s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=39,vlan_tci=0x0000/0x1fff,dl_src=02:a2:78:3b:86:af,dl_dst=12:42:36:87:e0:c8,arp_spa=10.50.0.39,arp_tpa=10.50.0.34,arp_op=2 actions=output:34
 cookie=0x0, duration=4.307s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=52:d9:23:9c:af:d4,dl_dst=fe:cc:75:b9:6e:9e,arp_spa=10.10.0.1,arp_tpa=10.10.0.254,arp_op=2 actions=output:49
 cookie=0x0, duration=3.796s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=41,vlan_tci=0x0000/0x1fff,dl_src=ae:54:42:14:e4:a0,dl_dst=06:6b:d7:0f:d3:be,arp_spa=10.60.0.41,arp_tpa=10.60.0.254,arp_op=2 actions=output:52
 cookie=0x0, duration=2.261s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=51,vlan_tci=0x0000/0x1fff,dl_src=76:b5:86:df:02:a3,dl_dst=62:88:f7:c3:52:6d,arp_spa=10.50.0.254,arp_tpa=10.50.0.36,arp_op=2 actions=output:36
 cookie=0x0, duration=2.258s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=36,vlan_tci=0x0000/0x1fff,dl_src=62:88:f7:c3:52:6d,dl_dst=76:b5:86:df:02:a3,arp_spa=10.50.0.36,arp_tpa=10.50.0.254,arp_op=2 actions=output:51
 cookie=0x0, duration=1.747s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=52,vlan_tci=0x0000/0x1fff,dl_src=06:6b:d7:0f:d3:be,dl_dst=36:c7:cb:02:f8:fc,arp_spa=10.60.0.254,arp_tpa=10.60.0.44,arp_op=2 actions=output:44
 cookie=0x0, duration=1.742s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=33,vlan_tci=0x0000/0x1fff,dl_src=be:6c:17:18:c0:6b,dl_dst=76:b5:86:df:02:a3,arp_spa=10.50.0.33,arp_tpa=10.50.0.254,arp_op=2 actions=output:51
 cookie=0x0, duration=1.237s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=4e:69:5f:96:39:68,dl_dst=fe:cc:75:b9:6e:9e,arp_spa=10.10.0.2,arp_tpa=10.10.0.254,arp_op=2 actions=output:49
 cookie=0x0, duration=0.180s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=50,vlan_tci=0x0000/0x1fff,dl_src=36:a8:a4:cd:40:dd,dl_dst=6e:33:b1:a2:a2:b8,arp_spa=10.20.0.254,arp_tpa=10.20.0.13,arp_op=2 actions=output:13
