 cookie=0x0, duration=8.828s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=35,vlan_tci=0x0000/0x1fff,dl_src=02:53:86:b8:4f:dd,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.50.0.35,arp_tpa=10.50.0.254,arp_op=1 actions=output:50
 cookie=0x0, duration=8.827s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=40,vlan_tci=0x0000/0x1fff,dl_src=6a:98:a2:af:8f:5b,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.50.0.40,arp_tpa=10.50.0.254,arp_op=1 actions=output:50
 cookie=0x0, duration=6.779s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=13,vlan_tci=0x0000/0x1fff,dl_src=76:f2:a6:37:e9:bc,dl_dst=7e:25:ad:a6:09:1c,arp_spa=10.20.0.13,arp_tpa=10.20.0.254,arp_op=1 actions=output:49
 cookie=0x0, duration=5.756s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=41,vlan_tci=0x0000/0x1fff,dl_src=a2:dc:e5:37:4a:29,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.60.0.41,arp_tpa=10.60.0.254,arp_op=1 actions=output:50
 cookie=0x0, duration=5.755s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=36,vlan_tci=0x0000/0x1fff,dl_src=e2:f1:0c:be:f3:8a,dl_dst=02:53:86:b8:4f:dd,arp_spa=10.50.0.36,arp_tpa=10.50.0.35,arp_op=1 actions=output:35
 cookie=0x0, duration=4.732s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=45,vlan_tci=0x0000/0x1fff,dl_src=56:3c:49:1d:f9:a2,dl_dst=6e:ce:99:78:d7:5a,arp_spa=10.60.0.45,arp_tpa=10.60.0.43,arp_op=1 actions=output:43
 cookie=0x0, duration=4.731s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=42,vlan_tci=0x0000/0x1fff,dl_src=1e:8d:8c:4c:d0:9e,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.60.0.42,arp_tpa=10.60.0.254,arp_op=1 actions=output:50
 cookie=0x0, duration=4.730s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=43,vlan_tci=0x0000/0x1fff,dl_src=6e:ce:99:78:d7:5a,dl_dst=56:3c:49:1d:f9:a2,arp_spa=10.60.0.43,arp_tpa=10.60.0.45,arp_op=1 actions=output:45
 cookie=0x0, duration=3.707s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=8,vlan_tci=0x0000/0x1fff,dl_src=f6:5b:9e:42:58:04,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.10.0.8,arp_tpa=10.10.0.254,arp_op=1 actions=output:50
 cookie=0x0, duration=3.194s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=45,vlan_tci=0x0000/0x1fff,dl_src=56:3c:49:1d:f9:a2,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.60.0.45,arp_tpa=10.60.0.254,arp_op=1 actions=output:50
 cookie=0x0, duration=1.659s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=15,vlan_tci=0x0000/0x1fff,dl_src=0a:92:6e:48:0c:db,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.20.0.15,arp_tpa=10.20.0.254,arp_op=1 actions=output:50
 cookie=0x0, duration=0.635s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=11,vlan_tci=0x0000/0x1fff,dl_src=62:07:23:ed:85:2b,dl_dst=ba:96:48:c9:52:b8,arp_spa=10.20.0.11,arp_tpa=10.20.0.254,arp_op=1 actions=output:50
