 cookie=0x0, duration=9.847s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=52:d9:23:9c:af:d4,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.1,nw_dst=10.20.0.27,nw_tos=0,tp_src=38213,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.771s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=7,vlan_tci=0x0000/0x1fff,dl_src=1e:a0:45:70:4d:ec,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.7,nw_dst=10.60.0.39,nw_tos=0,tp_src=39185,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.467s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=36,vlan_tci=0x0000/0x1fff,dl_src=62:88:f7:c3:52:6d,dl_dst=76:b5:86:df:02:a3,nw_src=10.50.0.36,nw_dst=10.10.0.42,nw_tos=0,tp_src=35668,tp_dst=80 actions=output:51
 cookie=0x0, duration=9.402s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=8,vlan_tci=0x0000/0x1fff,dl_src=32:e8:ba:2c:6d:18,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.8,nw_dst=10.20.0.23,nw_tos=0,tp_src=37306,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.372s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=5,vlan_tci=0x0000/0x1fff,dl_src=da:e9:9e:8b:50:2c,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.5,nw_dst=10.60.0.6,nw_tos=0,tp_src=52301,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.372s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:4e:09:97:37:92,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.3,nw_dst=10.50.0.7,nw_tos=0,tp_src=42774,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.324s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=42,vlan_tci=0x0000/0x1fff,dl_src=8e:85:f4:ea:73:70,dl_dst=06:6b:d7:0f:d3:be,nw_src=10.60.0.42,nw_dst=10.50.0.47,nw_tos=0,tp_src=42643,tp_dst=80 actions=output:52
 cookie=0x0, duration=9.268s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=11,vlan_tci=0x0000/0x1fff,dl_src=7a:ab:34:53:44:16,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.11,nw_dst=10.50.0.41,nw_tos=0,tp_src=59186,tp_dst=80 actions=output:50
 cookie=0x0, duration=8.844s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=52:d9:23:9c:af:d4,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.1,nw_dst=10.50.0.37,nw_tos=0,tp_src=34924,tp_dst=80 actions=output:49
 cookie=0x0, duration=8.542s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=34,vlan_tci=0x0000/0x1fff,dl_src=12:42:36:87:e0:c8,dl_dst=02:a2:78:3b:86:af,nw_src=10.50.0.34,nw_dst=10.50.0.39,nw_tos=0,tp_src=46324,tp_dst=80 actions=output:39
 cookie=0x0, duration=8.512s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=4e:69:5f:96:39:68,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.2,nw_dst=10.50.0.24,nw_tos=0,tp_src=57381,tp_dst=80 actions=output:49
