OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=10.350s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=191.219.108.139,nw_dst=10.20.0.10,nw_tos=0,tp_src=19572,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.348s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=157.133.168.86,nw_dst=10.20.0.10,nw_tos=0,tp_src=19573,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.339s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=45.119.92.9,nw_dst=10.20.0.10,nw_tos=0,tp_src=19574,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.332s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=192.127.103.35,nw_dst=10.20.0.10,nw_tos=0,tp_src=19575,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.315s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=5.63.100.47,nw_dst=10.20.0.10,nw_tos=0,tp_src=19579,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.293s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=250.22.214.139,nw_dst=10.20.0.10,nw_tos=0,tp_src=19580,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.279s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=77.77.81.61,nw_dst=10.20.0.10,nw_tos=0,tp_src=19581,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.274s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=250.243.213.72,nw_dst=10.20.0.10,nw_tos=0,tp_src=19582,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.267s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=213.83.245.43,nw_dst=10.20.0.10,nw_tos=0,tp_src=19583,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.254s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=204.49.30.242,nw_dst=10.20.0.10,nw_tos=0,tp_src=19584,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.249s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=205.71.135.146,nw_dst=10.20.0.10,nw_tos=0,tp_src=19585,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.230s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=133.9.9.158,nw_dst=10.20.0.10,nw_tos=0,tp_src=19586,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.222s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=132.91.150.9,nw_dst=10.20.0.10,nw_tos=0,tp_src=19588,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.222s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=169.75.77.237,nw_dst=10.20.0.10,nw_tos=0,tp_src=19538,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.222s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=133.93.22.12,nw_dst=10.20.0.10,nw_tos=0,tp_src=19539,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.222s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=49.203.22.82,nw_dst=10.20.0.10,nw_tos=0,tp_src=19545,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.222s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=41.35.88.112,nw_dst=10.20.0.10,nw_tos=0,tp_src=19549,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.213s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=161.22.49.207,nw_dst=10.20.0.10,nw_tos=0,tp_src=19554,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.208s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=236.233.17.177,nw_dst=10.20.0.10,nw_tos=0,tp_src=19558,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.199s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=65.104.115.250,nw_dst=10.20.0.10,nw_tos=0,tp_src=19560,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.187s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=5.237.99.239,nw_dst=10.20.0.10,nw_tos=0,tp_src=19565,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.185s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=250.119.156.179,nw_dst=10.20.0.10,nw_tos=0,tp_src=19568,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.176s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=91.206.116.203,nw_dst=10.20.0.10,nw_tos=0,tp_src=19571,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.164s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=61.21.176.83,nw_dst=10.20.0.10,nw_tos=0,tp_src=19576,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.152s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=9.83.245.219,nw_dst=10.20.0.10,nw_tos=0,tp_src=19577,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.139s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=9.84.77.22,nw_dst=10.20.0.10,nw_tos=0,tp_src=19578,tp_dst=80 actions=output:49
 cookie=0x0, duration=10.132s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=132.12.230.50,nw_dst=10.20.0.10,nw_tos=0,tp_src=19587,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=81.125.147.1,nw_dst=10.20.0.10,nw_tos=0,tp_src=19589,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=127.5.88.205,nw_dst=10.20.0.10,nw_tos=0,tp_src=19590,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=22.110.6.89,nw_dst=10.20.0.10,nw_tos=0,tp_src=19591,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=51.29.18.168,nw_dst=10.20.0.10,nw_tos=0,tp_src=19595,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.934s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=79.116.83.84,nw_dst=10.20.0.10,nw_tos=0,tp_src=19596,tp_dst=80 actions=output:49
