SSIP,SDFP,SDFB,SFE,RFIP,CPU,APS,ABPS,SUBARP,MISS_MAC,DDOS,SLOW-RATE,MITM,TAGS
7,0,0,7,1,15,12,0,4,1,0,0,1,MITM 
7,0.939496174140422,0,7,1,7.3,12,0,4,1,0,0,1,MITM 
7,0.928559218478941,0,7,1,25,12,0,4,1,0,0,1,MITM 
7,0.916429893663449,0,7,1,12.5,10,0,4,1,0,0,1,MITM 
7,0.916429893663449,0,7,1,10.5,10,0,4,1,0,0,1,MITM 
7,0.939496174140422,0,7,1,2.4,7,0,1,1,0,0,1,MITM 
7,0.9537935951883,0,7,1,0,8,0,2,1,0,0,1,MITM 
5,0,0,5,1,10,9,0,1,1,0,0,1,MITM 
6,0,0,6,0.5,7.3,11,0,3,1,0,0,1,MITM 
7,0,0,7,0.857142857142857,2.5,10,0,2,1,0,0,1,MITM 
7,0,0,7,0.857142857142857,9.8,8,0,2,1,0,0,1,MITM 
7,0,0,7,1,9.5,8,0,2,1,0,0,1,MITM 
7,0,0,7,1,5.1,6,0,2,1,0,0,1,MITM 
7,0.745796901140974,0,7,1,7.3,6,0,2,1,0,0,1,MITM 
7,0.763762615825973,0,7,1,5.3,2,0,2,1,0,0,1,MITM 
7,0.763762615825973,0,7,1,2.5,2,0,2,1,0,0,1,MITM 
7,0.782029569731148,0,7,0.857142857142857,7.7,2,0,2,1,0,0,1,MITM 
7,0.763762615825973,0,7,1,15,2,0,2,1,0,0,1,MITM 
7,0.737820234355803,0,7,1,10.3,14,0,2,1,0,0,1,MITM 
7,0.737820234355803,0,7,1,40,8,0,2,1,0,0,1,MITM 
7,0.728431359084684,0,7,1,10.5,8,0,2,1,0,0,1,MITM 
7,0.737820234355803,0,7,1,14.6,8,0,2,1,0,0,1,MITM 
7,0.728431359084684,0,7,0.857142857142857,14.6,6,0,2,1,0,0,1,MITM 
6,0,0,6,1,12.5,4,0,2,1,0,0,1,MITM 
6,0,0,6,1,35.9,3,0,1,1,0,0,1,MITM 
7,0,0,7,1,10.5,4,0,2,1,0,0,1,MITM 
7,0,0,7,1,12.5,4,0,2,1,0,0,1,MITM 
7,0,0,7,1,16.7,4,0,2,1,0,0,1,MITM 
7,0,0,7,1,13.2,4,0,2,1,0,0,1,MITM 
7,1.14095361339933,0,7,1,18.4,4,0,2,1,0,0,1,MITM 
7,0.624926031125843,0,7,1,15.8,2,0,2,1,0,0,1,MITM 
7,0.622699849077239,0,7,1,12.5,3,0,1,1,0,0,1,MITM 
7,0.624926031125843,0,7,0.857142857142857,12.8,4,0,2,1,0,0,1,MITM 
7,0.618241233033047,0,7,1,10.3,4,0,2,1,0,0,1,MITM 
7,0.624926031125843,0,7,1,27.5,5,0,1,1,0,0,1,MITM 
7,0,0,7,1,26.2,6,0,2,1,0,0,1,MITM 
7,0,0,7,1,87.2,7,0,1,1,0,0,1,MITM 
7,0,0,7,1,68.3,6,0,2,1,0,0,1,MITM 
7,0,0,7,1,12.5,6,0,2,1,0,0,1,MITM 
7,0.640095478989051,0,7,1,7.7,6,0,2,1,0,0,1,MITM 
7,1.12001690604316,0,7,1,10.3,4,0,2,1,0,0,1,MITM 
7,1.12001690604316,0,7,1,10.3,4,0,2,1,0,0,1,MITM 
7,1.0973065354098,0,7,1,7.9,4,0,2,1,0,0,1,MITM 
7,1.0973065354098,0,7,1,35.9,4,0,2,1,0,0,1,MITM 
5,0,0,5,1,17.5,6,0,2,1,0,0,1,MITM 
6,0,0,6,0.833333333333333,16.7,4,0,2,1,0,0,1,MITM 
6,0,0,6,0.833333333333333,14.6,4,0,2,1,0,0,1,MITM 
7,0,0,7,0.857142857142857,10.5,6,0,2,1,0,0,1,MITM 
7,0,0,7,1,22,6,0,2,1,0,0,1,MITM 
7,0,0,7,1,14.6,6,0,2,1,0,0,1,MITM 
