SSIP,SDFP,SDFB,SFE,RFIP,CPU,APS,ABPS,SUBARP,MISS_MAC,DDOS,SLOW-RATE,MITM,TAGS
29,0,0,29,2.17241379310345,2.5,93,341,93,1,1,1,1,DDOS Slow Rate MITM 
29,0,0,29,2.89655172413793,2.5,115,54,103,1,1,1,1,DDOS Slow Rate MITM 
30,0,0,30,3.13333333333333,7.7,131,90,99,1,1,1,1,DDOS Slow Rate MITM 
30,0,0,30,3.33333333333333,4.2,168,84,98,1,1,1,1,DDOS Slow Rate MITM 
28,0,0,28,3.03571428571429,5,147,60,53,1,1,1,1,DDOS Slow Rate MITM 
30,0,0,30,2.56666666666667,7.6,126,128,32,1,1,1,1,DDOS Slow Rate MITM 
32,0,0,32,2.09375,2.6,120,69,20,1,1,1,1,DDOS Slow Rate MITM 
32,0,0,32,1.71875,10.8,126,60,18,1,1,1,1,DDOS Slow Rate MITM 
32,0,0,32,2.40625,4.2,120,104,16,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,2.03225806451613,5.8,100,68,14,1,1,1,1,DDOS Slow Rate MITM 
30,0,0,30,2.1,14.9,69,140,17,1,1,1,1,DDOS Slow Rate MITM 
29,0,0,29,2.82758620689655,4.2,56,58,16,1,1,1,1,DDOS Slow Rate MITM 
29,0,0,29,3.68965517241379,5.3,48,102,14,1,1,1,1,DDOS Slow Rate MITM 
29,0,0,29,3.79310344827586,1.7,52,79,16,1,1,1,1,DDOS Slow Rate MITM 
30,0,0,30,3.8,2.5,52,68,12,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,3.51612903225806,6.8,46,133,10,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,2.61290322580645,2.5,44,70,10,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,3.48387096774194,1.7,41,70,5,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,3.58064516129032,3.4,40,93,6,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,2.83870967741936,2.5,38,17,6,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,2.61290322580645,2.5,38,0,4,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,2.2258064516129,3.3,32,0,4,1,1,1,1,DDOS Slow Rate MITM 
24,0,0,24,2.16666666666667,2.5,39,0,3,1,1,1,1,DDOS Slow Rate MITM 
24,0,0,24,1.33333333333333,3.3,39,0,3,1,1,1,1,DDOS Slow Rate MITM 
20,0,0,20,0.8,1.7,32,0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0,0,30,3.13333333333333,12.6,55,0,1,1,1,1,1,DDOS Slow Rate MITM 
32,0,0,32,2.40625,4.2,93,60,5,1,1,1,1,DDOS Slow Rate MITM 
24,0.131286224097331,6.03916630847724,24,1.08333333333333,0,88,784,88,1,1,1,1,DDOS Slow Rate MITM 
27,0.111102430216445,5.11071178995646,27,1.33333333333333,10.7,99,62,99,1,1,1,1,DDOS Slow Rate MITM 
29,0.0975854958181944,4.48893280763695,29,1.86206896551724,7.6,105,114,105,1,1,1,1,DDOS Slow Rate MITM 
31,0.0845132383055448,3.88760896205506,31,2.2258064516129,0.8,123,60,113,1,1,1,1,DDOS Slow Rate MITM 
32,0.079554114629279,3.65948927294683,32,2.125,7.8,135,88,111,1,1,1,1,DDOS Slow Rate MITM 
32,0.072356458341408,3.32839708370477,32,2.8125,13.7,171,69,107,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,3.19354838709677,5.8,160,66,64,1,1,1,1,DDOS Slow Rate MITM 
32,0,0,32,3.15625,5.1,147,156,47,1,1,1,1,DDOS Slow Rate MITM 
32,0,0,32,3.09375,3.4,141,66,33,1,1,1,1,DDOS Slow Rate MITM 
31,0,0,31,3.09677419354839,8.8,134,84,20,1,1,1,1,DDOS Slow Rate MITM 
30,0,0,30,3.53333333333333,5.1,128,82,18,1,1,1,1,DDOS Slow Rate MITM 
