SSIP,SDFP,SDFB,SFE,RFIP,CPU,APS,ABPS,SUBARP,MISS_MAC,DDOS,SLOW-RATE,MITM,TAGS
29,0.0,0.0,29,2.1724137931034484,2.5,93.0,341.0,93,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,2.896551724137931,2.5,115.0,54.0,103,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.1333333333333333,7.7,131.0,90.0,99,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.3333333333333335,4.2,168.0,84.0,98,1,1,1,1,DDOS Slow Rate MITM 
28,0.0,0.0,28,3.0357142857142856,5.0,147.0,60.0,53,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.566666666666667,7.6,126.0,128.0,32,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.09375,2.6,120.0,69.0,20,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,1.71875,10.8,126.0,60.0,18,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.40625,4.2,120.0,104.0,16,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.032258064516129,5.8,100.0,68.0,14,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.1,14.9,69.0,140.0,17,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,2.8275862068965516,4.2,56.0,58.0,16,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,3.689655172413793,5.3,48.0,102.0,14,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,3.793103448275862,1.7,52.0,79.0,16,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.8,2.5,52.0,68.0,12,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.5161290322580645,6.8,46.0,133.0,10,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.6129032258064515,2.5,44.0,70.0,10,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.4838709677419355,1.7,41.0,70.0,5,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.5806451612903225,3.4,40.0,93.0,6,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.838709677419355,2.5,38.0,17.0,6,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.6129032258064515,2.5,38.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.225806451612903,3.3,32.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
24,0.0,0.0,24,2.1666666666666665,2.5,39.0,0.0,3,1,1,1,1,DDOS Slow Rate MITM 
24,0.0,0.0,24,1.3333333333333333,3.3,39.0,0.0,3,1,1,1,1,DDOS Slow Rate MITM 
20,0.0,0.0,20,0.8,1.7,32.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.1333333333333333,12.6,55.0,0.0,1,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.40625,4.2,93.0,60.0,5,1,1,1,1,DDOS Slow Rate MITM 
24,0.13128622409733126,6.039166308477239,24,1.0833333333333333,0.0,88.0,784.0,88,1,1,1,1,DDOS Slow Rate MITM 
27,0.11110243021644485,5.110711789956464,27,1.3333333333333333,10.7,99.0,62.0,99,1,1,1,1,DDOS Slow Rate MITM 
29,0.09758549581819442,4.488932807636945,29,1.8620689655172413,7.6,105.0,114.0,105,1,1,1,1,DDOS Slow Rate MITM 
31,0.08451323830554482,3.8876089620550607,31,2.225806451612903,0.8,123.0,60.0,113,1,1,1,1,DDOS Slow Rate MITM 
32,0.07955411462927897,3.659489272946833,32,2.125,7.8,135.0,88.0,111,1,1,1,1,DDOS Slow Rate MITM 
32,0.07235645834140797,3.328397083704768,32,2.8125,13.7,171.0,69.0,107,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.193548387096774,5.8,160.0,66.0,64,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,3.15625,5.1,147.0,156.0,47,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,3.09375,3.4,141.0,66.0,33,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.096774193548387,8.8,134.0,84.0,20,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.533333333333333,5.1,128.0,82.0,18,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.966666666666667,4.2,111.0,68.0,13,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.7666666666666666,6.9,75.0,158.0,13,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,3.9310344827586206,4.2,56.0,68.0,10,1,1,1,1,DDOS Slow Rate MITM 
28,0.0,0.0,28,4.0,3.4,40.0,63.0,8,1,1,1,1,DDOS Slow Rate MITM 
28,0.0,0.0,28,3.2857142857142856,5.9,32.0,119.0,4,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.8,4.2,26.0,59.0,6,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.6,4.4,26.0,102.0,6,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.903225806451613,3.4,22.0,80.0,6,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,3.15625,5.7,21.0,69.0,7,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.5625,5.1,22.0,114.0,8,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.3225806451612905,3.4,26.0,18.0,8,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.1,2.6,28.0,0.0,8,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,1.6333333333333333,5.0,31.0,0.0,7,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,1.3,4.2,28.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
25,0.0,0.0,25,1.16,5.0,25.0,0.0,3,1,1,1,1,DDOS Slow Rate MITM 
18,0.0,0.0,18,0.5555555555555556,4.2,23.0,0.0,1,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,4.2,4.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,5.8,4.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,10.9,4.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
14,0.18885257457751053,8.687218430565485,14,0.6428571428571429,0.0,8.0,38.0,2,1,1,1,1,DDOS Slow Rate MITM 
23,0.1360585386967543,6.258692780050698,23,0.6521739130434783,0.8,8.0,59.0,2,1,1,1,1,DDOS Slow Rate MITM 
25,0.11545951007185855,5.311137463305493,25,1.2,2.5,8.0,127.0,2,1,1,1,1,DDOS Slow Rate MITM 
28,0.0870362919923006,4.003669431645829,28,2.2142857142857144,0.8,8.0,61.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.08006241061929587,3.6828708884876096,29,2.5517241379310347,5.2,30.0,83.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.07198059875565238,3.3111075427600105,31,3.2580645161290325,3.4,68.0,94.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.06933671543191945,3.1894889098682944,31,3.2903225806451615,5.1,110.0,45.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.06468405175773384,2.9754663808557553,31,2.935483870967742,1.7,126.0,112.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.161290322580645,5.9,138.0,72.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.5161290322580645,4.2,148.0,64.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.8333333333333335,5.1,148.0,117.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,3.125,4.3,124.0,57.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,3.125,10.3,96.0,119.0,2,1,1,1,1,DDOS Slow Rate MITM 
33,0.0,0.0,33,3.4545454545454546,0.0,88.0,77.0,2,1,1,1,1,DDOS Slow Rate MITM 
33,0.0,0.0,33,2.6363636363636362,8.3,42.0,100.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.1875,5.0,50.0,67.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,1.90625,1.7,62.0,56.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.6451612903225805,3.4,46.0,121.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.2666666666666666,2.5,54.0,67.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.0,2.5,50.0,46.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.2333333333333334,5.0,54.0,18.0,2,1,1,1,1,DDOS Slow Rate MITM 
26,0.0,0.0,26,2.0,5.0,60.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
25,0.0,0.0,25,1.84,2.5,54.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
25,0.0,0.0,25,1.6,5.8,54.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
21,0.0,0.0,21,1.0,5.0,38.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
13,0.0,0.0,13,0.7692307692307693,3.4,32.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
13,0.0,0.0,13,0.7692307692307693,3.4,2.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
13,0.0,0.0,13,0.7692307692307693,4.2,2.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
26,0.10152910775842669,4.670338956887627,26,1.8461538461538463,6.0,2.0,98.0,2,1,1,1,1,DDOS Slow Rate MITM 
27,0.08638440069981998,3.9736824321917177,27,2.5185185185185186,4.2,22.0,73.0,2,1,1,1,1,DDOS Slow Rate MITM 
28,0.07980704870505599,3.671124240432574,28,2.6785714285714284,5.0,54.0,61.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0731261855308357,3.363804534418444,30,2.3666666666666667,7.8,74.0,117.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0656526012471996,3.02001965737118,30,2.1,1.7,116.0,59.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.0,11.0,134.0,62.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,1.3870967741935485,5.1,148.0,95.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.096774193548387,12.6,170.0,63.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,2.310344827586207,4.3,174.0,127.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,2.586206896551724,1.7,136.0,62.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,3.206896551724138,2.5,122.0,63.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.2333333333333334,3.3,80.0,112.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,4.096774193548387,2.5,64.0,60.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.6666666666666665,3.5,48.0,78.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.6,2.5,36.0,84.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.064516129032258,8.9,32.0,71.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,4.0,5.2,36.0,137.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.6451612903225805,2.5,40.0,60.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.3333333333333335,5.3,52.0,89.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.5,3.4,54.0,86.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.0,10.8,60.0,26.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.7,8.3,54.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,2.3793103448275863,8.2,58.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,1.7586206896551724,3.4,54.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
23,0.0,0.0,23,1.5217391304347827,4.2,42.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
16,0.0,0.0,16,1.0,0.8,36.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
16,0.0,0.0,16,1.0,4.1,22.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
16,0.0,0.0,16,1.0,1.7,18.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
16,0.0,0.0,16,1.0,3.3,14.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
16,0.0,0.0,16,1.0,3.4,2.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
13,0.0,0.0,13,0.23076923076923078,2.5,2.0,34.0,2,1,1,1,1,DDOS Slow Rate MITM 
17,0.1542574468374819,7.095842554524169,17,0.8823529411764706,5.1,2.0,62.0,2,1,1,1,1,DDOS Slow Rate MITM 
23,0.11623673115395301,5.346889633081838,23,1.3478260869565217,6.7,2.0,143.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.533333333333333,5.1,160.0,71.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.6,7.4,149.0,59.0,15,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,3.2333333333333334,7.6,114.0,119.0,2,1,1,1,1,DDOS Slow Rate MITM 
